name;version;license;copyrights;language
util-perf;1.0.0;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
commons-codec;1.3;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
commons-io;2.2;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
commons-lang;2.6;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
commons-logging;1.1.3;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
commons-fileupload;1.3.3;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
log4j;1.2.15;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
cxf;2.7.7;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
xmlschema-core;2.1.0;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
neethi;3.0.3;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
geronimo-javamail;1.4;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
axis-jaxrpc;1.4;Apache;apache;Java
aopalliance;1.0.0;Public;;Java
asm;3.3.1;BSD (http://asm.objectweb.org/license.html);;Java
cglib;2.2.2;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-aop;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-instrument;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-beans;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-context;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-core;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-expression;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-jdbc;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-tx;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-web;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
spring-test;4.3.24;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
jettison;1.3.1;CDDL 1.0 - GPL;;Java
servlet-api;2.5;CDDL - GPL 2.0;;Java
csi-core;1.4.6;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
csi-rmi;1.4.6;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
csi-ejb;1.4.6;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
csi-apachesoap;1.4.6;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
csi-stadapter;1.4.6;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
iridev2;2.0.0;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
iridev2-pep-base-wsnms;1.0.0;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";csipiemonte;Java
resteasy-jaxrs;3.7.0.Final;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
resteasy-multipart-provider;3.7.0.Final;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
jackson-mapper-asl;1.9.13;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
jackson-core-asl;1.9.13;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
validation-api;1.0.0.GA-redhat-3;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
gson;2.2.4;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
swagger-annotations;1.5.18;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
swagger-jaxrs;1.5.18;Apache License Version 2.0, January 2004 (https://www.apache.org/licenses/LICENSE-2.0.txt);apache;Java
postgresql-jdbc;42.2.6;BSD-2-Clause (https://jdbc.postgresql.org/about/license.html);;Java
junit;4.12;"Eclipse Public License 1.0 (	http://www.eclipse.org/legal/epl-v10.html)";;Java
mockito;1.9.0;The MIT License (http://code.google.com/p/mockito/wiki/License);;Java
