name;version;license;copyrights;language
@angular/animations;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/common;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/compiler;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/core;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/forms;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/localize;~13.3.6;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/platform-browser;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/platform-browser-dynamic;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@angular/router;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@ng-bootstrap/ng-bootstrap;^2.0.2;The MIT License (https://github.com/ng-bootstrap/ng-bootstrap/blob/master/LICENSE);;typescript
@popperjs/core;^2.11.5;MIT License (https://github.com/floating-ui/floating-ui/blob/master/LICENSE);;typescript
angular-ng-autocomplete;^2.0.8;MIT License (https://github.com/gmerabishvili/angular-ng-autocomplete/blob/master/LICENSE);;typescript
bootstrap-italia;^1.6.2;bootstrap-italia/LICENSE at main · italia/bootstrap-italia · GitHub;;typescript
lodash;^4.17.21;The MIT License (https://github.com/lodash/lodash/blob/master/LICENSE);;typescript
moment;^2.29.3;MIT License (https://github.com/moment/moment/blob/develop/LICENSE);;typescript
ng-http-loader;^11.0.1;The MIT License (https://github.com/mpalourdio/ng-http-loader/blob/master/LICENSE);;typescript
ngx-logger;^5.0.9;The MIT License (https://github.com/dbfannin/ngx-logger/blob/master/LICENSE);;typescript
rxjs;~7.5.0;Apache-2.0 license;;typescript
tslib;^2.3.0;BSD Zero Clause License (https://github.com/microsoft/tslib/blob/main/LICENSE.txt);;typescript
xlsx;^0.18.5;Apache 2.0 License;;typescript
zone.js;~0.11.4;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
;;;;
;;;;
devDependencies;;;;
@angular-devkit/build-angular;~13.3.0;The MIT License (https://github.com/angular/angular-cli/blob/main/LICENSE);;typescript
@angular/cli;~13.3.0;The MIT License (https://github.com/angular/angular-cli/blob/main/LICENSE);;typescript
@angular/compiler-cli;~13.3.0;The MIT License (https://github.com/angular/angular/blob/main/LICENSE);;typescript
@types/jasmine;~3.10.0;MIT license;;typescript
@types/node;^12.11.1;MIT license;;typescript
jasmine-core;~4.0.0;MIT license;;typescript
karma;~6.3.0;The MIT License (https://github.com/karma-runner/karma/blob/master/LICENSE);;typescript
karma-chrome-launcher;~3.1.0;The MIT License (https://github.com/karma-runner/karma-chrome-launcher/blob/master/LICENSE);;typescript
karma-coverage;~2.1.0;The MIT License (https://github.com/karma-runner/karma-coverage/blob/master/LICENSE);;typescript
karma-jasmine;~4.0.0;The MIT License (https://github.com/karma-runner/karma-jasmine/blob/master/LICENSE);;typescript
karma-jasmine-html-reporter;~1.7.0;The MIT License (https://github.com/dfederm/karma-jasmine-html-reporter/blob/main/LICENSE);;typescript
typescript;~4.6.2;Apache License (https://github.com/microsoft/TypeScript/blob/main/LICENSE.txt);;typescript
